Time(sec)	Acceleration (g)	Speed	Position	Scaled position
2.0600	-0.021017	0.0062375	0.0069175	23.056
2.0800	0.037915	0.0064065	0.0070439	23.477
2.1000	0.059268	0.0073783	0.0071818	23.937
2.1200	0.012175	0.0080927	0.0073365	24.453
2.1400	-0.0029960	0.0081845	0.0074992	24.995
2.1600	0.037564	0.0085302	0.0076664	25.552
2.1800	0.045699	0.0093628	0.0078453	26.148
2.2000	-0.0021080	0.0097987	0.0080369	26.787
2.2200	-0.050941	0.0092683	0.0082276	27.423
2.2400	0.015464	0.0089135	0.0084094	28.029
2.2600	0.069372	0.0097618	0.0085962	28.651
2.2800	0.010232	0.010558	0.0087994	29.328
2.3000	-0.060518	0.010055	0.0090055	30.015
2.3200	0.0067900	0.0095177	0.0092012	30.668
2.3400	0.11255	0.010711	0.0094035	31.342
2.3600	0.13037	0.013140	0.0096420	32.137
2.3800	0.037369	0.014818	0.0099216	33.069
2.4000	-0.027135	0.014920	0.010219	34.060
2.4200	-0.036394	0.014285	0.010511	35.033
2.4400	-0.077066	0.013150	0.010785	35.946
2.4600	-0.080060	0.011579	0.011033	36.773
2.4800	0.016723	0.010946	0.011258	37.523
2.5000	0.085184	0.011965	0.011487	38.286
2.5200	0.071953	0.013536	0.011742	39.136
2.5400	0.0089370	0.014345	0.012021	40.066
2.5600	-0.0018560	0.014416	0.012308	41.023
2.5800	0.0031400	0.014429	0.012597	41.986
2.6000	-0.050272	0.013957	0.012881	42.932
2.6200	-0.059857	0.012856	0.013149	43.826
2.6400	-0.022728	0.012030	0.013398	44.656
2.6600	0.016062	0.011963	0.013638	45.455
2.6800	0.023339	0.012357	0.013881	46.265
2.7000	0.055236	0.013143	0.014136	47.115
2.7200	0.035672	0.014052	0.014408	48.022
2.7400	-0.040793	0.014001	0.014688	48.955
2.7600	-0.043414	0.013159	0.014960	49.862
2.7800	0.010030	0.012825	0.015220	50.728
2.8000	-0.015191	0.012774	0.015476	51.582
2.8200	-0.042074	0.012201	0.015726	52.415
2.8400	-0.043562	0.011345	0.015961	53.198
2.8600	-0.017772	0.010731	0.016182	53.935
2.8800	-0.0036090	0.010517	0.016394	54.641
2.9000	0.015365	0.010635	0.016606	55.348
2.9200	0.056870	0.011357	0.016826	56.081
2.9400	0.060896	0.012535	0.017065	56.878
2.9600	0.043030	0.013574	0.017326	57.748
2.9800	0.042855	0.014433	0.017606	58.681
3.0000	0.070257	0.015564	0.017906	59.681
3.0200	0.019197	0.016459	0.018226	60.747
3.0400	0.0012110	0.016663	0.018557	61.850
3.0600	0.039921	0.017074	0.018895	62.977
3.0800	0.040210	0.017875	0.019244	64.140
3.1000	-0.0051810	0.018226	0.019605	65.343
3.1200	0.00055100	0.018179	0.019969	66.557
3.1400	0.0091700	0.018277	0.020334	67.773
3.1600	-0.0073940	0.018294	0.020699	68.990
3.1800	-0.0010650	0.018210	0.021064	70.206
3.2000	0.027528	0.018474	0.021431	71.430
3.2200	0.038238	0.019132	0.021807	72.683
3.2400	0.0063860	0.019578	0.022194	73.973
3.2600	-0.027866	0.019364	0.022584	75.272
3.2800	-0.070654	0.018378	0.022961	76.529
3.3000	-0.11674	0.016504	0.023310	77.692
3.3200	-0.16033	0.013734	0.023612	78.699
3.3400	-0.18809	0.010249	0.023852	79.499
3.3600	-0.22733	0.0060953	0.024016	80.045
3.3800	-0.26801	0.0011418	0.024088	80.285
3.4000	-0.30464	-0.0045847	0.024054	80.172
3.4200	-0.33374	-0.010968	0.023898	79.652
3.4400	-0.34639	-0.017770	0.023611	78.695
3.4600	-0.35656	-0.024799	0.023185	77.276
3.4800	-0.35830	-0.031948	0.022618	75.386
3.5000	-0.37161	-0.039247	0.021906	73.013
3.5200	-0.38612	-0.046824	0.021045	70.143
3.5400	-0.39166	-0.054602	0.020031	66.763
3.5600	-0.41665	-0.062685	0.018858	62.854
3.5800	-0.46461	-0.071498	0.017516	58.381
3.6000	-0.49428	-0.081087	0.015990	53.295
3.6200	-0.48166	-0.090846	0.014271	47.565
3.6400	-0.46485	-0.10031	0.012359	41.193
3.6600	-0.46015	-0.10956	0.010261	34.200
3.6800	-0.44405	-0.11860	0.0079789	26.594
3.7000	-0.34242	-0.12647	0.0055282	18.425
3.7200	-0.12885	-0.13118	0.0029518	9.8383
3.7400	0.10866	-0.13138	0.00032615	1.0871
3.7600	0.31774	-0.12712	-0.0022588	-7.5286
3.7800	0.47274	-0.11921	-0.0047221	-15.739
3.8000	0.57134	-0.10877	-0.0070019	-23.337
3.8200	0.66044	-0.096455	-0.0090542	-30.178
3.8400	0.67769	-0.083074	-0.010849	-36.160
3.8600	0.62548	-0.070042	-0.012381	-41.266
3.8800	0.58560	-0.057931	-0.013660	-45.529
3.9000	0.51132	-0.046962	-0.014709	-49.025
3.9200	0.55683	-0.036280	-0.015542	-51.801
3.9400	0.20234	-0.028689	-0.016191	-53.965
3.9600	-0.44797	-0.031145	-0.016790	-55.961
3.9800	-0.58925	-0.041517	-0.017516	-58.381
4.0000	-0.51140	-0.052524	-0.018457	-61.517
4.0200	-0.41785	-0.061816	-0.019600	-65.327
4.0400	-0.36798	-0.069675	-0.020915	-69.710
